Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.200000,-94.200000,-90.000000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",104.800000,-88.700000,0.000000,bottom
"C8","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",99.000000,-82.600000,-90.000000,bottom
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",101.400000,-83.400000,-90.000000,bottom
"C10","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",104.700000,-86.700000,0.000000,bottom
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",104.200000,-75.300000,0.000000,bottom
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",104.400000,-72.037500,90.000000,bottom
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",107.000000,-72.200000,90.000000,bottom
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.100000,-64.800000,0.000000,bottom
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",102.100000,-99.500000,180.000000,bottom
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.637500,-93.400000,180.000000,bottom
"C17","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.737500,-65.500000,180.000000,bottom
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",121.150000,-73.000000,0.000000,bottom
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",111.600000,-73.000000,0.000000,bottom
"D3","LED","LED_0805_2012Metric",114.420000,-90.420000,-90.000000,bottom
"D4","MBR0530","D_SOD-123",116.400000,-72.200000,90.000000,bottom
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",96.500000,-61.000000,0.000000,bottom
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",96.500000,-98.000000,180.000000,bottom
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",132.000000,-98.000000,180.000000,bottom
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",132.000000,-61.000000,180.000000,bottom
"J1","Conn_01x06_Female","PinHeader_1x06_P2.54mm_Vertical",126.600000,-70.650000,180.000000,bottom
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",101.403949,-89.814555,-135.000000,bottom
"Q1","2N7002","SOT-23",118.462500,-84.350000,180.000000,bottom
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.000000,-77.600000,-90.000000,bottom
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",107.100000,-76.700000,-90.000000,bottom
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",108.900000,-86.200000,180.000000,bottom
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",108.800000,-88.300000,180.000000,bottom
"R12","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.460000,-87.400000,0.000000,bottom
"R13","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.800000,-92.800000,-90.000000,bottom
"R14","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.900000,-77.300000,180.000000,bottom
"R16","10k","R_0603_1608Metric",115.025000,-84.200000,0.000000,bottom
"R17","1M","R_0603_1608Metric",112.700000,-83.900000,-90.000000,bottom
"R18","22","R_0603_1608Metric",120.500000,-81.000000,55.000000,bottom
"R21","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.600000,-69.000000,0.000000,bottom
"SW2","SW_Push","SW_SPST_CK_KMS2xxGP",123.375352,-66.332180,-36.000000,bottom
"TP3","BaerLogo","baerklein",114.400000,-65.000000,180.000000,bottom
"U4","TP4065","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR",117.200000,-88.400000,90.000000,bottom
"U5","GC9A01_IPS_display","GC9A01_IPS_display",123.925000,-82.000000,90.000000,bottom
"U6","MT6701CT","SO-8_3.9x4.9mm_P1.27mm",114.025000,-79.695000,180.000000,bottom
"U8","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",107.050000,-82.350000,0.000000,bottom
"Ur1","MLX90640","MLX90640",114.131269,-77.113181,-70.000000,bottom
